Übung;30.01.2020 19:30;30.01.2020 21:30;GEPLANT;GEMISCHT;Rettung aus Höhen und Tiefen;;;
Ma Übung;31.01.2020 19:30;31.01.2020 21:30;GEPLANT;GEMISCHT;Feuerlöschpumpen;;;
